Chromosome,Start,End,Length (bp),Number of Covered CpGs,Mean Difference in Block (Normal to Cancer),Mean Normal Methylation in Block,Percentage of evidence from Watson Strand (Normal),Percentage of evidence from Watson Strand (Cancer),Direction of Methylation Change,Block Identifier #
chr1,32892862,32922628,29767,128,-0.169,0.725,0.5,0.496,hypo,Block:322
chr1,32937382,32959539,22158,146,-0.105,0.748,0.515,0.499,hypo,Block:323
chr1,32975449,32994866,19418,85,-0.07,0.725,0.449,0.446,hypo,Block:324
chr1,33106832,33112359,5528,25,-0.054,0.381,0.456,0.377,hypo,Block:325
chr1,33121576,33129917,8342,41,0.063,0.561,0.63,0.617,hyper,Block:326
chr1,33209653,33219390,9738,77,0.154,0.386,0.499,0.473,hyper,Block:327
chr1,33220067,33227942,7876,109,0.134,0.487,0.532,0.541,hyper,Block:328
chr1,33333393,33348535,15143,244,-0.074,0.519,0.55,0.532,hypo,Block:329
chr1,33392853,33425174,32322,183,-0.081,0.753,0.452,0.419,hypo,Block:330
chr1,33514064,33541827,27764,134,-0.082,0.67,0.49,0.496,hypo,Block:331
chr1,33594569,33614141,19573,194,-0.075,0.723,0.517,0.509,hypo,Block:332
chr1,33651865,33716153,64289,334,-0.146,0.722,0.514,0.518,hypo,Block:333
chr1,33773942,33786523,12582,120,-0.066,0.697,0.488,0.497,hypo,Block:334
chr1,33852570,33883649,31080,144,-0.088,0.755,0.473,0.469,hypo,Block:335
chr1,33906728,33938000,31273,220,-0.134,0.666,0.495,0.509,hypo,Block:336
chr1,33956918,34623274,666357,4884,-0.202,0.738,0.495,0.499,hypo,Block:337
chr1,34630999,34641798,10800,129,0.147,0.22,0.544,0.519,hyper,Block:338
chr1,34646092,34829004,182913,1097,-0.184,0.698,0.52,0.515,hypo,Block:339
chr1,34936720,34954782,18063,97,0.056,0.65,0.48,0.487,hyper,Block:340
chr1,34986649,35018933,32285,178,0.055,0.655,0.463,0.481,hyper,Block:341
chr1,35075370,35103486,28117,157,0.061,0.699,0.488,0.494,hyper,Block:342
chr1,35116170,35134217,18048,155,0.059,0.708,0.473,0.505,hyper,Block:343
chr1,35168597,35200293,31697,241,-0.09,0.703,0.444,0.472,hypo,Block:344
chr1,35249750,35258555,8806,142,0.076,0.58,0.525,0.499,hyper,Block:345
chr1,35258852,35265343,6492,107,0.081,0.71,0.466,0.452,hyper,Block:346
chr1,35336234,35343334,7101,70,-0.05,0.478,0.475,0.494,hypo,Block:347
chr1,35353072,35385813,32742,289,-0.163,0.657,0.487,0.491,hypo,Block:348
chr1,35403343,35443218,39876,258,-0.1,0.764,0.452,0.465,hypo,Block:349
chr1,35462763,35477868,15106,59,-0.085,0.886,0.481,0.501,hypo,Block:350
chr1,35497655,35536994,39340,137,-0.116,0.69,0.516,0.564,hypo,Block:351
chr1,35595395,35639230,43836,154,-0.079,0.802,0.52,0.54,hypo,Block:352
chr1,35664832,35726297,61466,248,-0.149,0.77,0.514,0.539,hypo,Block:353
chr1,36043475,36052017,8543,45,0.114,0.525,0.567,0.52,hyper,Block:354
chr1,36107295,36166498,59204,332,-0.165,0.648,0.484,0.487,hypo,Block:355
chr1,36237698,36267465,29768,117,-0.116,0.645,0.493,0.495,hypo,Block:356
chr1,36280770,36304501,23732,106,-0.073,0.859,0.547,0.535,hypo,Block:357
chr1,36325662,36343119,17458,101,-0.098,0.717,0.544,0.536,hypo,Block:358
chr1,36531883,36549427,17545,99,-0.083,0.744,0.455,0.498,hypo,Block:359
chr1,36563981,36590752,26772,336,-0.123,0.67,0.503,0.492,hypo,Block:360
chr1,36650051,36680921,30871,174,-0.106,0.743,0.526,0.505,hypo,Block:361
chr1,36870283,36896555,26273,200,-0.069,0.786,0.494,0.478,hypo,Block:362
chr1,36917610,36927135,9526,66,0.059,0.398,0.504,0.468,hyper,Block:363
chr1,36933410,37489301,555892,5323,-0.204,0.644,0.493,0.495,hypo,Block:364
chr1,37507288,37783518,276231,2001,-0.218,0.621,0.504,0.496,hypo,Block:365
chr1,37784288,37919894,135607,1042,-0.195,0.63,0.488,0.485,hypo,Block:366
chr1,37930203,37939626,9424,72,-0.064,0.43,0.486,0.483,hypo,Block:367
chr1,37940685,37948255,7571,155,-0.067,0.437,0.501,0.526,hypo,Block:368
chr1,37985153,38007867,22715,134,-0.075,0.788,0.465,0.528,hypo,Block:369
chr1,38063375,38096491,33117,320,-0.172,0.594,0.484,0.504,hypo,Block:370
chr1,38103859,38147344,43486,431,-0.216,0.698,0.49,0.501,hypo,Block:371
chr1,38241648,38251600,9953,66,-0.077,0.518,0.44,0.438,hypo,Block:372
chr1,38462052,38470592,8541,120,0.07,0.462,0.475,0.511,hyper,Block:373
chr1,38494267,38499352,5086,65,-0.053,0.732,0.58,0.623,hypo,Block:374
chr1,38504670,38510074,5405,86,0.088,0.35,0.466,0.519,hyper,Block:375
chr1,38518301,38941882,423582,3148,-0.214,0.697,0.523,0.52,hypo,Block:376
chr1,38942430,39038031,95602,845,-0.182,0.658,0.485,0.472,hypo,Block:377
chr1,39049876,39268272,218397,1502,-0.208,0.682,0.471,0.478,hypo,Block:378
chr1,39275715,39283524,7810,114,-0.074,0.433,0.466,0.476,hypo,Block:379
chr1,39284609,39308793,24185,177,-0.118,0.679,0.443,0.416,hypo,Block:380
chr1,39413316,39449764,36449,142,-0.084,0.719,0.472,0.49,hypo,Block:381
chr1,39550138,39564544,14407,96,-0.069,0.615,0.499,0.521,hypo,Block:382
chr1,39585393,39591467,6075,36,-0.049,0.779,0.547,0.546,hypo,Block:383
chr1,39859306,39871944,12639,59,-0.054,0.464,0.538,0.538,hypo,Block:384
chr1,39882903,39893522,10620,50,0.064,0.71,0.59,0.559,hyper,Block:385
chr1,39962438,39975614,13177,105,-0.102,0.733,0.572,0.524,hypo,Block:386
chr1,40010921,40022979,12059,61,0.056,0.819,0.44,0.444,hyper,Block:387
chr1,40047277,40104969,57693,551,-0.174,0.716,0.501,0.508,hypo,Block:388
chr1,40108544,40136494,27951,265,-0.14,0.671,0.507,0.507,hypo,Block:389
chr1,40158556,40204285,45730,279,-0.12,0.591,0.552,0.558,hypo,Block:390
chr1,40563574,40591659,28086,107,-0.112,0.693,0.41,0.409,hypo,Block:391
chr1,40608536,40616781,8246,40,-0.052,0.582,0.458,0.456,hypo,Block:392
chr1,40697007,40716531,19525,93,-0.085,0.809,0.509,0.545,hypo,Block:393
chr1,40783785,40832024,48240,236,-0.121,0.671,0.529,0.513,hypo,Block:394
chr1,40897051,40906688,9638,53,-0.06,0.834,0.577,0.557,hypo,Block:395
chr1,41007721,41090272,82552,399,-0.134,0.793,0.505,0.51,hypo,Block:396
chr1,41134140,41145772,11633,73,-0.054,0.705,0.467,0.478,hypo,Block:397
chr1,41177236,41200157,22922,100,0.056,0.704,0.59,0.587,hyper,Block:398
chr1,41277225,41283773,6549,75,0.057,0.689,0.491,0.461,hyper,Block:399
chr1,41311506,41326892,15387,171,-0.083,0.542,0.488,0.509,hypo,Block:400
chr1,41328378,41339683,11306,65,-0.062,0.553,0.514,0.515,hypo,Block:401
chr1,41367447,41411204,43758,299,-0.077,0.771,0.501,0.499,hypo,Block:402
chr1,41419634,41444111,24478,158,-0.122,0.679,0.494,0.512,hypo,Block:403
chr1,41716115,41821684,105570,732,-0.126,0.739,0.522,0.507,hypo,Block:404
chr1,41833075,41845737,12663,112,0.065,0.341,0.504,0.537,hyper,Block:405
chr1,41851415,41911227,59813,709,-0.157,0.67,0.505,0.501,hypo,Block:406
chr1,41974932,41981735,6804,145,-0.068,0.707,0.469,0.492,hypo,Block:407
chr1,41982053,42127293,145241,1441,-0.262,0.831,0.48,0.478,hypo,Block:408
chr1,42128674,42343206,214533,1808,-0.234,0.809,0.484,0.488,hypo,Block:409
chr1,42360269,42383611,23343,147,-0.062,0.642,0.493,0.46,hypo,Block:410
chr1,42384041,42500708,116668,581,-0.183,0.733,0.476,0.481,hypo,Block:411
chr1,42502000,42631368,129369,863,-0.159,0.72,0.484,0.487,hypo,Block:412
chr1,42810186,42840890,30705,118,-0.073,0.713,0.505,0.476,hypo,Block:413
chr1,42939306,43115881,176576,586,-0.107,0.839,0.518,0.523,hypo,Block:414
chr1,43153289,43170708,17420,112,-0.081,0.678,0.591,0.571,hypo,Block:415
chr1,43190346,43212251,21906,277,-0.064,0.807,0.524,0.488,hypo,Block:416
chr1,43240498,43249894,9397,41,0.054,0.625,0.496,0.549,hyper,Block:417
chr1,43261360,43273993,12634,74,-0.057,0.738,0.541,0.516,hypo,Block:418
chr1,43323900,43381842,57943,294,-0.143,0.771,0.482,0.453,hypo,Block:419
chr1,43401524,43416103,14580,172,-0.097,0.677,0.462,0.47,hypo,Block:420
chr1,43435333,43448581,13249,94,-0.06,0.79,0.502,0.488,hypo,Block:421
chr1,43464373,43533807,69435,681,-0.1,0.76,0.519,0.516,hypo,Block:422
chr1,43534359,43613452,79094,353,-0.108,0.717,0.503,0.523,hypo,Block:423
chr1,43613935,43632453,18519,142,-0.066,0.719,0.456,0.457,hypo,Block:424
chr1,43638723,43721779,83057,601,-0.117,0.764,0.511,0.507,hypo,Block:425
chr1,43768048,43814082,46035,497,-0.063,0.805,0.521,0.51,hypo,Block:426
chr1,43930918,43989984,59067,397,-0.071,0.787,0.512,0.506,hypo,Block:427
chr1,44024053,44031249,7197,134,0.071,0.662,0.563,0.618,hyper,Block:428
chr1,44031861,44039263,7403,121,0.072,0.74,0.498,0.519,hyper,Block:429
chr1,44099859,44114880,15022,83,-0.079,0.464,0.485,0.495,hypo,Block:430
chr1,44178813,44191160,12348,73,-0.068,0.741,0.551,0.581,hypo,Block:431
chr1,44302667,44308692,6026,36,-0.052,0.804,0.546,0.56,hypo,Block:432
chr1,44460404,44475311,14908,240,0.061,0.687,0.488,0.489,hyper,Block:433
chr1,44498175,44677645,179471,1039,-0.173,0.765,0.519,0.514,hypo,Block:434
chr1,44821138,44865010,43873,281,-0.182,0.736,0.512,0.507,hypo,Block:435
chr1,44874081,44879880,5800,110,0.082,0.231,0.519,0.552,hyper,Block:436
chr1,44886281,45092432,206152,1785,-0.196,0.721,0.511,0.507,hypo,Block:437
chr1,45148672,45196876,48205,441,-0.092,0.72,0.503,0.493,hypo,Block:438
chr1,45663037,45670624,7588,31,0.061,0.324,0.318,0.317,hyper,Block:439
chr1,45995202,46002822,7621,39,-0.07,0.554,0.553,0.548,hypo,Block:440
chr1,46205060,46213188,8129,29,0.056,0.577,0.354,0.385,hyper,Block:441
chr1,46227379,46264995,37617,159,-0.095,0.762,0.54,0.537,hypo,Block:442
chr1,46440039,46454609,14571,70,-0.054,0.836,0.506,0.567,hypo,Block:443
chr1,46510640,46524130,13491,60,0.053,0.751,0.417,0.381,hyper,Block:444
chr1,46609835,46618219,8385,40,-0.055,0.743,0.507,0.443,hypo,Block:445
chr1,46647239,46652840,5602,46,-0.05,0.618,0.506,0.48,hypo,Block:446
chr1,46685841,46703039,17199,72,-0.069,0.663,0.576,0.567,hypo,Block:447
chr1,46885917,46907070,21154,202,-0.131,0.682,0.566,0.513,hypo,Block:448
chr1,46916572,46932104,15533,168,-0.118,0.58,0.49,0.5,hypo,Block:449
chr1,46962156,46982742,20587,217,-0.092,0.764,0.507,0.492,hypo,Block:450
chr1,46992721,46998182,5462,52,-0.055,0.415,0.463,0.434,hypo,Block:451
chr1,46999279,47009527,10249,84,-0.083,0.415,0.461,0.445,hypo,Block:452
chr1,47010177,47021445,11269,149,-0.093,0.608,0.532,0.538,hypo,Block:453
chr1,47136016,47159035,23020,116,-0.074,0.728,0.492,0.48,hypo,Block:454
chr1,47190239,47481876,291638,856,-0.118,0.691,0.532,0.523,hypo,Block:455
chr1,47498836,47632621,133786,314,-0.14,0.745,0.502,0.523,hypo,Block:456
chr1,47660491,47680582,20092,164,-0.078,0.707,0.5,0.49,hypo,Block:457
chr1,47703628,47711956,8329,62,-0.073,0.705,0.547,0.514,hypo,Block:458
chr1,47911102,47919865,8764,123,0.21,0.297,0.517,0.508,hyper,Block:459
chr1,47922657,47937974,15318,108,-0.104,0.745,0.552,0.537,hypo,Block:460
chr1,47961988,47969024,7037,36,-0.049,0.583,0.639,0.637,hypo,Block:461
chr1,47990748,47998872,8125,46,0.054,0.602,0.52,0.491,hyper,Block:462
chr1,47999541,48010935,11395,77,0.056,0.582,0.494,0.548,hyper,Block:463
chr1,48164280,48170888,6609,57,-0.057,0.372,0.521,0.499,hypo,Block:464
chr1,48239698,48294263,54566,608,-0.097,0.771,0.506,0.499,hypo,Block:465
chr1,48314202,48381567,67366,566,-0.079,0.783,0.483,0.497,hypo,Block:466
chr1,48412987,48438612,25626,147,-0.087,0.733,0.43,0.425,hypo,Block:467
chr1,48452699,48462092,9394,139,-0.069,0.541,0.505,0.532,hypo,Block:468
chr1,48462988,48777698,314711,1686,-0.118,0.725,0.51,0.507,hypo,Block:469
chr1,48798355,48818959,20605,54,-0.047,0.852,0.299,0.334,hypo,Block:470
chr1,48899276,48920034,20759,72,-0.051,0.822,0.468,0.422,hypo,Block:471
chr1,48950014,49242359,292346,1780,-0.245,0.745,0.499,0.497,hypo,Block:472
chr1,49242900,50489398,1246499,3988,-0.243,0.731,0.467,0.466,hypo,Block:473
chr1,50489954,50513478,23525,101,-0.081,0.516,0.473,0.46,hypo,Block:474
chr1,50514357,50798609,284253,1450,-0.202,0.631,0.506,0.516,hypo,Block:475
chr1,50799556,50872916,73361,359,-0.168,0.621,0.484,0.459,hypo,Block:476
chr1,50893781,50898795,5015,70,0.093,0.248,0.537,0.552,hyper,Block:477
chr1,51326458,51336473,10016,24,-0.047,0.886,0.364,0.398,hypo,Block:478
chr1,51447678,51690851,243174,894,-0.171,0.802,0.506,0.507,hypo,Block:479
chr1,51800191,51810267,10077,85,-0.059,0.537,0.474,0.471,hypo,Block:480
chr1,52043240,52070850,27611,145,-0.089,0.857,0.53,0.516,hypo,Block:481
chr1,52348418,52455894,107477,542,-0.165,0.707,0.494,0.502,hypo,Block:482
chr1,52456480,52489321,32842,171,-0.084,0.692,0.458,0.478,hypo,Block:483
chr1,52557360,52595384,38025,148,-0.117,0.806,0.474,0.458,hypo,Block:484
chr1,52888119,52983719,95601,412,-0.066,0.919,0.406,0.398,hypo,Block:485
chr1,53025319,53059985,34667,167,-0.159,0.73,0.507,0.497,hypo,Block:486
chr1,53071897,53096209,24313,132,-0.172,0.741,0.502,0.468,hypo,Block:487
chr1,53105753,53154775,49023,293,-0.089,0.825,0.511,0.514,hypo,Block:488
chr1,53318822,53359118,40297,187,-0.141,0.844,0.598,0.595,hypo,Block:489
chr1,53516364,53527551,11188,71,0.097,0.541,0.534,0.516,hyper,Block:490
chr1,53532870,53643437,110568,1577,-0.116,0.803,0.482,0.48,hypo,Block:491
chr1,53712430,53719869,7440,41,-0.054,0.84,0.477,0.466,hypo,Block:492
chr1,53800228,54201098,400871,4812,-0.192,0.754,0.486,0.488,hypo,Block:493
chr1,54213628,54226494,12867,64,-0.077,0.74,0.404,0.435,hypo,Block:494
chr1,54306608,54320382,13775,91,-0.07,0.663,0.498,0.534,hypo,Block:495
chr1,54448783,54490414,41632,329,-0.083,0.788,0.484,0.479,hypo,Block:496
chr1,54587601,54633690,46090,488,-0.066,0.745,0.514,0.511,hypo,Block:497
chr1,54720112,54725812,5701,111,-0.05,0.825,0.51,0.476,hypo,Block:498
chr1,54793602,54803959,10358,148,0.056,0.783,0.438,0.43,hyper,Block:499
chr1,54880338,54922069,41732,208,-0.094,0.753,0.492,0.5,hypo,Block:500
chr1,54958461,54964993,6533,58,-0.066,0.421,0.507,0.559,hypo,Block:501
chr1,54965475,55001384,35910,223,-0.093,0.699,0.515,0.533,hypo,Block:502
chr1,55084421,55096444,12024,87,-0.068,0.773,0.533,0.548,hypo,Block:503
chr1,55135258,55177332,42075,382,-0.084,0.803,0.497,0.494,hypo,Block:504
chr1,55186822,55194998,8177,22,0.056,0.686,0.581,0.516,hyper,Block:505
chr1,55275655,55308760,33106,237,-0.083,0.79,0.533,0.533,hypo,Block:506
chr1,55344668,55352431,7764,63,-0.107,0.478,0.45,0.463,hypo,Block:507
chr1,55353374,55412023,58650,232,-0.115,0.67,0.515,0.514,hypo,Block:508
chr1,55413895,55446074,32180,244,-0.077,0.628,0.534,0.525,hypo,Block:509
chr1,55446872,55462628,15757,205,-0.103,0.593,0.464,0.498,hypo,Block:510
chr1,55463058,55490043,26986,281,-0.134,0.748,0.51,0.514,hypo,Block:511
chr1,55685670,56897272,1211603,5636,-0.222,0.771,0.512,0.515,hypo,Block:512
chr1,56911846,56923857,12012,100,-0.054,0.787,0.489,0.494,hypo,Block:513
chr1,56956422,56962911,6490,60,-0.05,0.746,0.513,0.545,hypo,Block:514
chr1,57048634,57107832,59199,228,-0.189,0.678,0.5,0.504,hypo,Block:515
chr1,57120315,57880693,760379,4152,-0.205,0.72,0.487,0.487,hypo,Block:516
chr1,57899502,58704335,804834,3925,-0.218,0.71,0.483,0.487,hypo,Block:517
chr1,58733345,58950453,217109,1184,-0.194,0.78,0.488,0.486,hypo,Block:518
chr1,59013255,59038725,25471,120,-0.137,0.597,0.434,0.448,hypo,Block:519
chr1,59054066,59115831,61766,313,-0.102,0.771,0.511,0.523,hypo,Block:520
chr1,59165677,59203664,37988,196,-0.079,0.748,0.512,0.488,hypo,Block:521
chr1,59266678,59280875,14198,135,-0.078,0.471,0.528,0.548,hypo,Block:522
chr1,59347756,59357470,9715,83,-0.054,0.665,0.502,0.502,hypo,Block:523
chr1,59737710,59743348,5639,23,-0.05,0.824,0.446,0.444,hypo,Block:524
chr1,60258888,60280224,21337,103,-0.064,0.577,0.486,0.513,hypo,Block:525
chr1,60441776,60583365,141590,676,-0.146,0.718,0.534,0.535,hypo,Block:526
chr1,60627704,61026694,398991,1518,-0.133,0.777,0.489,0.502,hypo,Block:527
chr1,61103300,61260127,156828,595,-0.115,0.79,0.467,0.458,hypo,Block:528
chr1,61332157,61507142,174986,1080,-0.103,0.78,0.483,0.484,hypo,Block:529
chr1,61567938,61573492,5555,21,0.06,0.778,0.729,0.695,hyper,Block:530
chr1,61720424,61757345,36922,234,0.054,0.807,0.52,0.52,hyper,Block:531
chr1,61781019,61804845,23827,134,0.05,0.771,0.55,0.549,hyper,Block:532
chr1,61848536,61878928,30393,212,0.076,0.792,0.527,0.544,hyper,Block:533
chr1,61932282,62038810,106529,547,-0.12,0.81,0.509,0.503,hypo,Block:534
chr1,62053310,62104956,51647,337,-0.09,0.787,0.501,0.504,hypo,Block:535
chr1,62677047,62784099,107053,876,-0.086,0.745,0.484,0.482,hypo,Block:536
chr1,62785164,62872188,87025,633,-0.082,0.76,0.502,0.49,hypo,Block:537
chr1,62890104,62895823,5720,34,-0.061,0.595,0.504,0.503,hypo,Block:538
chr1,62908461,62914971,6511,27,0.076,0.467,0.685,0.668,hyper,Block:539
chr1,63207515,63243110,35596,126,-0.076,0.722,0.534,0.556,hypo,Block:540
chr1,63313108,63776570,463463,2557,-0.205,0.741,0.505,0.502,hypo,Block:541
chr1,63801820,63833059,31240,147,-0.141,0.632,0.489,0.499,hypo,Block:542
chr1,63960620,63976231,15612,37,0.049,0.642,0.376,0.37,hyper,Block:543
chr1,64037823,64043159,5337,23,-0.055,0.832,0.539,0.601,hypo,Block:544
chr1,64065678,64228669,162992,1076,-0.113,0.773,0.529,0.519,hypo,Block:545
chr1,64242960,64930247,687288,3651,-0.228,0.768,0.519,0.525,hypo,Block:546
chr1,64944136,64959316,15181,64,-0.071,0.642,0.559,0.542,hypo,Block:547
chr1,64983387,65206033,222647,1213,-0.162,0.779,0.543,0.543,hypo,Block:548
chr1,65214155,65233796,19642,69,0.117,0.471,0.607,0.639,hyper,Block:549
chr1,65439292,65459367,20076,88,-0.077,0.76,0.523,0.518,hypo,Block:550
chr1,65541300,65609639,68340,287,-0.117,0.744,0.519,0.536,hypo,Block:551
chr1,65636877,65659825,22949,154,-0.055,0.816,0.591,0.554,hypo,Block:552
chr1,65682669,65717665,34997,149,-0.153,0.748,0.572,0.598,hypo,Block:553
chr1,65724380,65731393,7014,46,0.071,0.308,0.503,0.513,hyper,Block:554
chr1,65743901,65775017,31117,126,-0.119,0.601,0.522,0.51,hypo,Block:555
chr1,65775772,65880582,104811,496,-0.147,0.738,0.556,0.554,hypo,Block:556
chr1,65902320,65987205,84886,342,-0.139,0.795,0.541,0.539,hypo,Block:557
chr1,66005798,66237666,231869,836,-0.173,0.774,0.53,0.54,hypo,Block:558
chr1,66259927,66998710,738784,2958,-0.158,0.746,0.516,0.513,hypo,Block:559
chr1,66999088,67218004,218917,1127,-0.219,0.737,0.524,0.519,hypo,Block:560
chr1,67218329,67283073,64745,263,-0.088,0.738,0.516,0.49,hypo,Block:561
chr1,67406896,67413618,6723,27,-0.059,0.741,0.616,0.606,hypo,Block:562
chr1,67499568,67517760,18193,63,0.069,0.563,0.445,0.457,hyper,Block:563
chr1,67533990,67557806,23817,72,-0.065,0.787,0.561,0.576,hypo,Block:564
chr1,67661284,67692801,31518,144,-0.057,0.821,0.537,0.53,hypo,Block:565
chr1,67707666,67763753,56088,235,-0.108,0.76,0.544,0.527,hypo,Block:566
chr1,67775954,67866424,90471,470,-0.123,0.789,0.51,0.515,hypo,Block:567
chr1,67903803,67980624,76822,371,-0.128,0.729,0.479,0.499,hypo,Block:568
chr1,68236662,68264706,28045,178,0.06,0.784,0.441,0.487,hyper,Block:569
chr1,68275510,68289920,14411,102,-0.087,0.636,0.472,0.484,hypo,Block:570
chr1,68321421,68559369,237949,1079,-0.136,0.748,0.514,0.51,hypo,Block:571
chr1,68607248,68617657,10410,88,0.048,0.778,0.485,0.508,hyper,Block:572
chr1,68638428,68652176,13749,84,0.048,0.68,0.455,0.418,hyper,Block:573
chr1,68675189,68688297,13109,74,0.06,0.586,0.4,0.404,hyper,Block:574
chr1,68703904,68949067,245164,1151,-0.191,0.751,0.523,0.53,hypo,Block:575
chr1,68963027,70022986,1059960,3596,-0.253,0.708,0.522,0.519,hypo,Block:576
chr1,70054992,70610288,555297,2044,-0.254,0.739,0.517,0.516,hypo,Block:577
chr1,70820736,70829508,8773,47,0.07,0.342,0.466,0.414,hyper,Block:578
chr1,70964618,71504221,539604,1984,-0.242,0.717,0.515,0.522,hypo,Block:579
chr1,71513829,71522887,9059,67,0.083,0.481,0.51,0.497,hyper,Block:580
chr1,71553512,72741744,1188233,4419,-0.245,0.765,0.498,0.502,hypo,Block:581
chr1,72792500,74258302,1465803,4867,-0.229,0.725,0.495,0.499,hypo,Block:582
chr1,74261954,74658961,397008,1323,-0.219,0.722,0.492,0.491,hypo,Block:583
chr1,74677718,75178141,500424,2133,-0.236,0.735,0.507,0.502,hypo,Block:584
chr1,75220592,75585793,365202,1130,-0.22,0.7,0.459,0.461,hypo,Block:585
chr1,75590142,75595769,5628,163,0.139,0.326,0.51,0.515,hyper,Block:586
chr1,75608741,75841529,232789,856,-0.16,0.736,0.493,0.498,hypo,Block:587
chr1,75854183,76063562,209380,775,-0.244,0.706,0.439,0.44,hypo,Block:588
chr1,76094234,76183831,89598,231,-0.198,0.648,0.462,0.47,hypo,Block:589
chr1,76227114,76242482,15369,57,-0.073,0.736,0.49,0.464,hypo,Block:590
chr1,76263159,76540110,276952,954,-0.186,0.739,0.532,0.527,hypo,Block:591
chr1,76540782,77326825,786044,3711,-0.239,0.776,0.524,0.526,hypo,Block:592
chr1,77346963,77571148,224186,1031,-0.195,0.742,0.515,0.51,hypo,Block:593
chr1,77661818,77684965,23148,85,-0.069,0.66,0.363,0.388,hypo,Block:594
chr1,77685443,77732962,47520,144,-0.187,0.698,0.515,0.5,hypo,Block:595
chr1,77758532,78036165,277634,1388,-0.156,0.748,0.508,0.504,hypo,Block:596
chr1,78155971,78163534,7564,26,-0.057,0.777,0.365,0.369,hypo,Block:597
chr1,78225768,78240862,15095,99,-0.059,0.526,0.441,0.486,hypo,Block:598
chr1,78361244,78390003,28760,81,-0.092,0.747,0.481,0.46,hypo,Block:599
chr1,78475638,78506583,30946,111,-0.149,0.733,0.583,0.567,hypo,Block:600
chr1,78518672,78525523,6852,23,0.073,0.551,0.586,0.576,hyper,Block:601
chr1,78722280,78952126,229847,752,-0.212,0.692,0.53,0.529,hypo,Block:602
chr1,78964540,79091177,126638,470,-0.221,0.705,0.518,0.517,hypo,Block:603
chr1,79126358,82259961,3133604,12403,-0.238,0.743,0.496,0.497,hypo,Block:604
chr1,82278446,82606036,327591,1483,-0.22,0.767,0.555,0.57,hypo,Block:605
chr1,82624472,84326226,1701755,6058,-0.251,0.769,0.502,0.5,hypo,Block:606
chr1,84326856,84464188,137333,475,-0.204,0.718,0.453,0.454,hypo,Block:607
chr1,84465348,84537135,71788,229,-0.132,0.628,0.539,0.519,hypo,Block:608
chr1,84556762,84613582,56821,198,-0.148,0.768,0.501,0.531,hypo,Block:609
chr1,84672270,84714872,42603,138,-0.055,0.865,0.55,0.553,hypo,Block:610
chr1,84912907,84937730,24824,79,-0.098,0.613,0.429,0.448,hypo,Block:611
chr1,85050416,85082950,32535,132,-0.106,0.732,0.44,0.45,hypo,Block:612
chr1,85164084,85353693,189610,1247,-0.12,0.771,0.483,0.483,hypo,Block:613
chr1,85368714,85445913,77200,397,-0.126,0.791,0.437,0.44,hypo,Block:614
chr1,85469012,85513486,44475,199,-0.13,0.647,0.485,0.502,hypo,Block:615
chr1,85525251,85582038,56788,259,-0.096,0.709,0.534,0.533,hypo,Block:616
chr1,85676921,85688002,11082,49,-0.058,0.722,0.4,0.461,hypo,Block:617
chr1,85752909,85769000,16092,96,-0.053,0.692,0.538,0.545,hypo,Block:618
chr1,85827176,85841520,14345,48,0.048,0.782,0.391,0.389,hyper,Block:619
chr1,85946370,86037166,90797,384,-0.154,0.72,0.445,0.447,hypo,Block:620
chr1,86051494,86077742,26249,146,-0.076,0.757,0.503,0.521,hypo,Block:621
chr1,86174325,86615632,441308,1382,-0.251,0.728,0.488,0.489,hypo,Block:622
chr1,86636075,86822618,186544,734,-0.229,0.755,0.489,0.487,hypo,Block:623
